unique_match_id,match_date,season_year,tour_type_human,surface,round,tournament,home_id,home_name,away_id,away_name,home_rank,away_rank,winner_code,home_win
60192393_2024_4,2024-10-29 21:45:00,2024,Wta Chall,Clay,1/16-Finals,Santa Cruz Chall. Women,534553,Lodikova D.,350354,Zavatska K.,,,1.0,1
94694327_2024_4,2024-10-29 23:05:00,2024,Wta Chall,Clay,1/16-Finals,Santa Cruz Chall. Women,602501,Strakhova V.,836015,Zeballos N.,,,1.0,1
14408127_2024_2,2024-10-30 04:10:00,2024,Wta Tour,Hard,1/8-Finals,Jiujiang WTA,369605,Bouzkova M.,824735,Yao X.,,,1.0,1
88061323_2024_2,2024-10-30 05:25:00,2024,Wta Tour,Hard,1/8-Finals,Jiujiang WTA,293685,Korpatsch T.,685811,Siegemund L.,,,2.0,0
62425810_2024_2,2024-10-30 05:50:00,2024,Wta Tour,Hard,1/8-Finals,Jiujiang WTA,164893,Pridankina E.,568609,Rakhimova K.,,,2.0,0
89284643_2024_2,2024-10-30 06:10:00,2024,Wta Tour,Hard,1/8-Finals,Hong Kong WTA,803486,Yuan Y.,615524,Hibino N.,,,1.0,1
30858923_2024_2,2024-10-30 06:10:00,2024,Wta Tour,Hard,1/8-Finals,Hong Kong WTA,363157,Shi H.,557676,Pera B.,,,2.0,0
35802259_2024_2,2024-10-30 09:10:00,2024,Wta Tour,Hard,1/8-Finals,Hong Kong WTA,674631,Wang Xiy.,970027,Boulter K.,,,2.0,0
93188498_2024_2,2024-10-30 10:20:00,2024,Wta Tour,Hard,1/8-Finals,Jiujiang WTA,216676,Sawangkaew M.,783984,Zheng S.,,,1.0,1
94870315_2024_2,2024-10-30 11:40:00,2024,Wta Tour,Hard,1/8-Finals,Hong Kong WTA,425446,Shnaider D.,861465,Hon P.,,,1.0,1
85486442_2024_2,2024-10-30 16:20:00,2024,Wta Tour,Hard,1/16-Finals,Merida WTA,690300,Joint M.,420409,Stakusic M.,,,2.0,0
64559958_2024_2,2024-10-30 16:25:00,2024,Wta Tour,Hard,1/16-Finals,Merida WTA,824108,Kudermetova P.,499387,Podoroska N.,,,1.0,1
26782282_2024_2,2024-10-30 17:45:00,2024,Wta Tour,Hard,1/16-Finals,Merida WTA,355591,Sorribes Tormo S.,105318,Sanchez A. S.,,,1.0,1
14654254_2024_2,2024-10-30 18:35:00,2024,Wta Tour,Hard,1/16-Finals,Merida WTA,988957,Zarazua R.,243955,Urhobo A.,,,1.0,1
17236858_2024_4,2024-10-30 19:05:00,2024,Wta Chall,Clay,1/8-Finals,Santa Cruz Chall. Women,890144,Erjavec V.,416641,Udvardy P.,,,2.0,0
