hypothesis,statistic,p_value,conclusion
H1: Favorito gana distinto al azar (50%),z = 52.43,0.00e+00,Se rechaza H0 — favorito gana significativamente más que el azar
H2: Servicio ganador vs. perdedor difiere,t = 329.31,0.00e+00,Se rechaza H0 — diferencia significativa de 12.1 pp
