unique_match_id,player_id,opponent_id,player_rank,opponent_rank,surface,season_year,match_date,tour_type_human,won,player_name,opponent_name
79867603_2024_1,328410,771361,49.0,799.0,Hard,2024,2024-08-06 23:05:00,Atp Tour,0,Marozsan F.,Carreno-Busta P.
86963145_2024_1,415691,467387,17.0,72.0,Hard,2024,2024-08-06 23:25:53,Atp Tour,1,Rune H.,Bautista-Agut R.
15838246_2024_3,119592,854887,119.0,353.0,Hard,2024,2024-08-06 23:30:00,Atp Chall,1,Eubanks C.,Spizzirri E.
92618666_2024_1,520972,556041,27.0,21.0,Hard,2024,2024-08-07 01:55:00,Atp Tour,0,Tiafoe F.,Tabilo A.
76187168_2024_3,622434,575829,249.0,372.0,Clay,2024,2024-08-07 09:05:00,Atp Chall,0,Olivieri G. A.,Cecchinato M.
96356577_2024_3,594536,944674,169.0,236.0,Clay,2024,2024-08-07 11:15:00,Atp Chall,1,Hassan B.,Travaglia S.
52091783_2024_3,341854,498578,185.0,343.0,Clay,2024,2024-08-07 12:35:00,Atp Chall,1,Squire H.,Klizan M.
83563774_2024_3,748946,847354,293.0,290.0,Clay,2024,2024-08-07 13:30:00,Atp Chall,0,Cretu C.,Blockx A.
56593441_2024_3,825354,117175,359.0,265.0,Clay,2024,2024-08-07 13:50:00,Atp Chall,1,Paulson A.,Kirkin E.
92774917_2024_3,930526,198966,315.0,156.0,Clay,2024,2024-08-07 14:00:00,Atp Chall,1,Svrcina D.,Roca Batalla O.
11423893_2024_3,583969,137843,275.0,113.0,Clay,2024,2024-08-07 15:05:00,Atp Chall,0,Habib H.,Marterer M.
55699615_2024_1,981922,646738,74.0,87.0,Hard,2024,2024-08-07 15:10:00,Atp Tour,1,Hijikata R.,Daniel T.
14970706_2024_1,650985,864024,12.0,32.0,Hard,2024,2024-08-07 15:10:00,Atp Tour,1,Paul T.,Darderi L.
40190063_2024_1,476352,764898,93.0,46.0,Hard,2024,2024-08-07 15:10:00,Atp Tour,0,McDonald M.,Arnaldi M.
29632127_2024_1,634863,771934,30.0,28.0,Hard,2024,2024-08-07 15:10:00,Atp Tour,1,Thompson J.,Draper J.
27859908_2024_3,550326,468512,243.0,522.0,Clay,2024,2024-08-07 15:10:00,Atp Chall,1,Mena F.,Farjat T.
61876854_2024_3,702948,218850,124.0,257.0,Clay,2024,2024-08-07 15:40:00,Atp Chall,0,Ramos A.,Collarini A.
13647131_2024_1,732840,791426,25.0,14.0,Hard,2024,2024-08-07 16:35:00,Atp Tour,0,Bublik A.,Shelton B.
