"match_id","season_year","tour_type","tour_type_human","date_timestamp","date_human","tournament","round","surface","surface_id","status","status_extra","home_name","away_name","home_id","away_id","home_rank","away_rank","home_points","away_points","winner_code","home_set_score","away_set_score","home_set_1_score","away_set_1_score","home_set_2_score","away_set_2_score","home_set_3_score","away_set_3_score","home_set_4_score","away_set_4_score","home_set_5_score","away_set_5_score","home_odds_match_winner","away_odds_match_winner","home_odds_first_set_winner","away_odds_first_set_winner","home_aces","away_aces","home_double_faults","away_double_faults","home_service_points_won_perc","away_service_points_won_perc","home_return_points_won_perc","away_return_points_won_perc","home_break_points_won_perc","away_break_points_won_perc","home_break_points_saved_perc","away_break_points_saved_perc"
"31307458",2025,2,"WTA Tour",1735261800,"27 Dec 2024","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Bjorklund M.","Todoni A. A.","254032","384199","","","","",2,0,2,1,6,2,6,"","","","","","",4.33,1.2,3.5,1.29,1,7,0,0,44,86,14,56,0,50,50,0
"70211523",2025,2,"WTA Tour",1735261800,"27 Dec 2024","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Saville D.","Sobolieva A.","658597","641848","","","","",2,1,2,2,6,6,2,5,7,"","","","",1.22,4,1.25,3.75,3,1,14,7,54,54,46,46,56,50,50,44
"45717045",2025,2,"WTA Tour",1735261800,"27 Dec 2024","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Bonaventure Y.","Inglis M.","759920","646421","","","","",2,0,2,2,6,4,6,"","","","","","",3.4,1.3,2.75,1.4,2,4,5,0,50,73,27,50,100,67,33,0
"21326671",2025,2,"WTA Tour",1735266600,"27 Dec 2024","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Schmiedlova A. K.","Ercan M.","537908","690743","","","","",1,2,0,6,2,6,3,"","","","","","",1.13,5.5,1.25,3.75,4,1,2,3,74,52,48,26,30,0,100,70
"12517427",2025,2,"WTA Tour",1735266900,"27 Dec 2024","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Sonmez Z.","Makarova E.","337480","159693","","","","",1,2,0,6,1,6,0,"","","","","","","","","","",0,0,4,6,68,39,61,32,55,0,100,45
"56808654",2025,2,"WTA Tour",1735270500,"27 Dec 2024","United Cup WTA","","hard",1,"FINISHED","FINISHED","Rybakina E.","Bouzas Maneiro J.","350535","595819","","","","",1,2,0,6,2,6,3,"","","","","","",1.08,8,1.14,5,0,0,0,4,68,43,57,32,80,10,90,20
"50719453",2025,2,"WTA Tour",1735270800,"27 Dec 2024","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Guo H.","Lys E.","676979","743463","","","","",1,2,1,3,6,6,3,6,4,"","","","","","","","",5,0,3,2,56,54,46,44,46,42,58,54
"27323936",2025,2,"WTA Tour",1735272000,"27 Dec 2024","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Sorribes Tormo S.","Kokkinis T.","355591","477119","","","","",1,2,0,6,3,6,3,"","","","","","",1.06,8.25,1.06,8,0,1,5,2,58,43,57,42,86,33,67,14
"44150913",2025,2,"WTA Tour",1735273800,"27 Dec 2024","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Smith T. N.","Bejlek S.","749101","429517","","","","",2,0,2,3,6,6,7,"","","","","","",6.5,1.1,4.75,1.15,1,0,1,8,52,57,43,48,33,80,20,67
"66861033",2025,2,"WTA Tour",1735278000,"27 Dec 2024","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Sharma A.","Kudermetova P.","529952","824108","","","","",2,0,2,3,6,2,6,"","","","","","",3,1.35,2.75,1.4,1,3,2,1,55,67,33,45,33,40,60,67
"15328694",2025,2,"WTA Tour",1735280100,"27 Dec 2024","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Arango E.","Watson H.","741705","630986","","","","",1,2,0,6,4,6,4,"","","","","","",2.85,1.4,2.62,1.44,2,5,1,6,67,59,41,33,50,50,50,50
"85957751",2025,2,"WTA Tour",1735281000,"27 Dec 2024","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Bogdan A.","Rodionova Ar.","288191","542405","","","","",1,2,0,6,1,6,2,"","","","","","",1.32,3.25,1.44,2.62,2,0,1,4,73,43,57,27,71,0,100,29
"56097032",2025,2,"WTA Tour",1735283100,"27 Dec 2024","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Dart H.","Hon P.","805782","861465","","","","",2,0,2,6,7,6,7,"","","","","","",1.65,2.1,1.73,2,4,2,5,2,51,56,44,49,63,45,55,38
"28137811",2025,2,"WTA Tour",1735290600,"27 Dec 2024","United Cup WTA","","hard",1,"FINISHED","FINISHED","Gao X.","Haddad Maia B.","233286","692146","","","","",1,2,1,5,7,6,4,7,5,"","","","",6.4,1.12,4.2,1.23,2,5,5,8,64,60,40,36,40,60,40,60
"83803650",2025,2,"WTA Tour",1735337400,"27 Dec 2024","Auckland WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Shibahara E.","Barry M.","681751","839218","","","","",2,0,2,6,7,4,6,"","","","","","",1.06,10.5,1.14,5.8,2,0,6,6,51,67,33,49,29,67,33,71
"52677999",2025,2,"WTA Tour",1735338000,"27 Dec 2024","Auckland WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Stefanini L.","Kaji H.","647835","792466","","","","",1,2,0,6,1,6,3,"","","","","","",1.33,3.25,1.45,2.7,0,1,2,2,62,44,56,38,33,67,33,67
"54769639",2025,2,"WTA Tour",1735338300,"27 Dec 2024","Auckland WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Glushko L.","Chirico L.","863771","936231","","","","",1,2,0,7,6,6,3,"","","","","","",2.18,1.67,2.1,1.73,2,2,3,6,56,51,49,44,100,29,71,0
"44828915",2025,2,"WTA Tour",1735342200,"27 Dec 2024","United Cup WTA","","hard",1,"FINISHED","FINISHED","Paquet C.","Bencic B.","944663","218416","","","","",2,0,2,3,6,1,6,"","","","","","",6.5,1.11,4.33,1.2,4,0,1,3,43,64,36,57,17,45,55,83
"86980160",2025,2,"WTA Tour",1735344600,"28 Dec 2024","Auckland WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Hibino N.","Tse E.","615524","485546","","","","",1,2,0,6,4,6,2,"","","","","","",1.02,16,1.07,9.5,0,1,4,5,51,31,69,49,88,44,56,13
"51237919",2025,2,"WTA Tour",1735344900,"28 Dec 2024","Auckland WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Bulgaru M.","Bektas E.","104163","826437","","","","",2,1,2,7,5,3,6,4,6,"","","","",3.45,1.3,2.8,1.42,8,11,9,0,60,74,26,40,25,30,70,75
"41309899",2025,2,"WTA Tour",1735346100,"28 Dec 2024","Auckland WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Vickery S.","Pigossi L.","555385","328017","","","","",1,2,0,6,2,6,3,"","","","","","",1.7,2.12,1.75,2.05,0,1,1,3,55,40,60,45,67,27,73,33
"65710389",2025,2,"WTA Tour",1735347600,"28 Dec 2024","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Schmiedlova A. K.","Todoni A. A.","537908","384199","","","","",2,0,2,2,6,3,6,"","","","","","",2.7,1.45,2.4,1.56,2,5,3,0,47,65,35,53,25,71,29,75
"78432359",2025,2,"WTA Tour",1735347600,"28 Dec 2024","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Sobolieva A.","Inglis M.","641848","646421","","","","",2,0,2,3,6,0,6,"","","","","","",2.8,1.42,2.45,1.54,0,4,3,1,49,76,24,51,0,57,43,0
"63013268",2025,2,"WTA Tour",1735349700,"28 Dec 2024","Auckland WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Romero Gormaz L.","Ivanov V.","275150","977261","","","","",1,2,1,6,7,7,6,6,4,"","","","",1.07,9,1.16,5.3,4,1,8,12,56,59,41,44,86,50,50,14
