"match_id","season_year","tour_type","tour_type_human","date_timestamp","date_human","tournament","round","surface","surface_id","status","status_extra","home_name","away_name","home_id","away_id","home_rank","away_rank","home_points","away_points","winner_code","home_set_score","away_set_score","home_set_1_score","away_set_1_score","home_set_2_score","away_set_2_score","home_set_3_score","away_set_3_score","home_set_4_score","away_set_4_score","home_set_5_score","away_set_5_score","home_odds_match_winner","away_odds_match_winner","home_odds_first_set_winner","away_odds_first_set_winner","home_aces","away_aces","home_double_faults","away_double_faults","home_service_points_won_perc","away_service_points_won_perc","home_return_points_won_perc","away_return_points_won_perc","home_break_points_won_perc","away_break_points_won_perc","home_break_points_saved_perc","away_break_points_saved_perc"
"75191598",2024,1,"ATP Tour",1703815800,"29 Dec 2023","United Cup ATP","","hard",1,"FINISHED","FINISHED","Davidovich Fokina A.","Seyboth Wild T.","853474","832213",26,79,1495,718,1,2,0,6,4,6,0,"","","","","","",1.29,3.75,1.36,3,4,4,2,1,72,52,48,28,57,0,0,43
"19565736",2024,1,"ATP Tour",1703842200,"29 Dec 2023","United Cup ATP","","hard",1,"FINISHED","FINISHED","Norrie C.","De Minaur A.","701944","284548",18,12,1940,2740,1,2,1,6,4,2,6,7,6,"","","","",2.75,1.44,2.38,1.53,7,8,1,2,71,73,28,29,33,67,33,67
"80698642",2024,1,"ATP Tour",1703899800,"30 Dec 2023","Brisbane ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Machac T.","Ellis B.","361742","481579","","","","",1,2,0,7,6,6,2,"","","","","","",1.02,17,1.09,8,7,10,2,3,69,56,44,31,43,33,67,57
"79573538",2024,1,"ATP Tour",1703900700,"30 Dec 2023","United Cup ATP","","hard",1,"FINISHED","FINISHED","Griekspoor T.","Ruud C.","646890","529271",23,11,1640,2825,2,0,2,3,6,4,6,"","","","","","",2.3,1.62,2.1,1.67,5,7,2,2,62,72,28,38,33,43,57,67
"59765621",2024,1,"ATP Tour",1703901600,"30 Dec 2023","Brisbane ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Halys Q.","Klein L.","786060","505077","","","","",2,0,2,4,6,6,7,"","","","","","",1.44,2.75,1.55,2.43,9,4,1,1,73,71,29,27,0,50,50,100
"90624516",2024,1,"ATP Tour",1703902200,"30 Dec 2023","United Cup ATP","","hard",1,"FINISHED","FINISHED","Lehecka J.","Zhang Z.","563621","149795",31,58,1372,885,2,1,2,7,5,3,6,4,6,"","","","",1.67,2.2,1.73,2,10,5,1,3,68,63,37,32,30,30,70,70
"38824779",2024,1,"ATP Tour",1703902500,"30 Dec 2023","Brisbane ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Peniston R.","Cressy M.","362646","527783","","","","",2,0,2,4,6,4,6,"","","","","","",2.55,1.5,2.32,1.6,1,6,4,12,65,61,39,35,14,100,0,86
"78821059",2024,1,"ATP Tour",1703907000,"30 Dec 2023","Brisbane ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Thiem D.","McCabe J.","768744","709359","","","","",1,2,1,2,6,7,6,6,4,"","","","",1.2,4.6,1.32,3.35,8,10,3,3,66,64,36,34,25,33,67,75
"67783622",2024,1,"ATP Tour",1703917500,"30 Dec 2023","Brisbane ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Gaio F.","Kovacevic A.","494252","655170","","","","",2,0,2,6,7,2,6,"","","","","","",3.9,1.25,3.05,1.38,8,10,5,1,57,64,36,43,13,27,73,88
"81905860",2024,1,"ATP Tour",1703919300,"30 Dec 2023","Brisbane ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Jasika O.","Zeppieri G.","697602","713412","","","","",2,0,2,5,7,3,6,"","","","","","",2.85,1.42,2.48,1.53,2,9,1,1,57,65,35,43,25,30,70,75
"64778426",2024,1,"ATP Tour",1703920500,"30 Dec 2023","Brisbane ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Bradshaw J.","Schwartzman D.","226406","179007","","","","",2,0,2,2,6,4,6,"","","","","","",10.5,1.06,5.8,1.14,4,1,0,1,56,73,27,44,0,43,57,0
"71483353",2024,1,"ATP Tour",1703925600,"30 Dec 2023","Brisbane ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Michelsen A.","Giannessi A.","207923","628610","","","","",1,2,0,6,3,6,2,"","","","","","",1.15,5,1.22,4,2,4,1,3,75,50,50,25,57,100,0,43
