"match_id","season_year","tour_type","tour_type_human","date_timestamp","date_human","tournament","round","surface","surface_id","status","status_extra","home_name","away_name","home_id","away_id","home_rank","away_rank","home_points","away_points","winner_code","home_set_score","away_set_score","home_set_1_score","away_set_1_score","home_set_2_score","away_set_2_score","home_set_3_score","away_set_3_score","home_set_4_score","away_set_4_score","home_set_5_score","away_set_5_score","home_odds_match_winner","away_odds_match_winner","home_odds_first_set_winner","away_odds_first_set_winner","home_aces","away_aces","home_double_faults","away_double_faults","home_service_points_won_perc","away_service_points_won_perc","home_return_points_won_perc","away_return_points_won_perc","home_break_points_won_perc","away_break_points_won_perc","home_break_points_saved_perc","away_break_points_saved_perc"
"88631370",2023,1,"ATP Tour",1672276200,"29 Dec 2022","United Cup ATP","","hard",1,"FINISHED","FINISHED","Fritz T.","Lehecka J.","723636","563621",9,81,3355,646,1,2,0,6,3,6,4,"","","","","","",1.13,5.5,1.22,4,5,4,3,1,68,67,33,32,67,0,100,33
"12903993",2023,1,"ATP Tour",1672289400,"29 Dec 2022","United Cup ATP","","hard",1,"FINISHED","FINISHED","Musetti L.","Meligeni Alves F.","340250","182021",23,166,1865,343,1,2,0,6,3,6,4,"","","","","","",1.08,7,1.17,4.5,9,1,1,2,67,54,46,33,100,67,33,0
"32392525",2023,1,"ATP Tour",1672296900,"29 Dec 2022","United Cup ATP","","hard",1,"FINISHED","FINISHED","Tsitsipas S.","Dimitrov G.","249143","945948",4,28,5550,1460,1,2,1,4,6,6,2,7,6,"","","","",1.29,3.5,1.4,2.75,12,11,1,2,72,72,28,28,25,11,89,75
"89690005",2023,1,"ATP Tour",1672301400,"29 Dec 2022","United Cup ATP","","hard",1,"FINISHED","FINISHED","De Minaur A.","Norrie C.","284548","701944",24,14,1790,2445,2,0,2,3,6,3,6,"","","","","","",1.62,2.2,1.67,2.1,3,4,1,1,60,71,29,40,0,33,67,100
"50341526",2023,1,"ATP Tour",1672313100,"29 Dec 2022","United Cup ATP","","hard",1,"FINISHED","FINISHED","Huesler M.","Skatov T.","488936","508090",56,142,818,387,1,2,1,4,6,6,3,6,3,"","","","",1.22,4,1.3,3.4,6,4,1,2,65,61,39,35,43,14,86,57
"50855008",2023,1,"ATP Tour",1672314600,"29 Dec 2022","United Cup ATP","","hard",1,"FINISHED","FINISHED","Rinderknech A.","Cerundolo F.","954504","986053",44,30,952,1395,1,2,0,6,4,6,2,"","","","","","",1.67,2.1,1.73,2,2,1,1,3,64,56,44,36,43,0,0,57
"83454864",2023,1,"ATP Tour",1672359000,"30 Dec 2022","United Cup ATP","","hard",1,"FINISHED","FINISHED","Berrettini M.","Monteiro T.","692847","261646",16,71,2375,738,1,2,0,6,4,7,6,"","","","","","",1.17,4.5,1.29,3.5,15,4,1,2,81,71,29,19,50,0,0,50
"50358144",2023,1,"ATP Tour",1672363800,"30 Dec 2022","United Cup ATP","","hard",1,"FINISHED","RETIRED","Tiafoe F.","Machac T.","520972","361742",19,97,2000,580,1,1,0,6,3,2,4,"","","","","","",1.3,3.4,1.4,2.75,4,6,1,5,62,56,44,38,33,50,50,67
"27258276",2023,1,"ATP Tour",1672372800,"30 Dec 2022","United Cup ATP","","hard",1,"FINISHED","FINISHED","Pervolarakis M.","Kuzmanov D.","458242","237834",506,196,70,282,2,0,2,1,6,1,6,"","","","","","",4.5,1.17,3.5,1.29,2,2,5,2,42,81,19,58,0,63,38,100
"56317834",2023,1,"ATP Tour",1672385700,"30 Dec 2022","United Cup ATP","","hard",1,"FINISHED","FINISHED","Wawrinka S.","Bublik A.","278192","732840",148,37,377,1130,1,2,0,6,3,7,6,"","","","","","",1.83,1.83,1.83,1.83,10,7,0,2,76,69,31,24,25,0,0,75
"36378713",2023,1,"ATP Tour",1672389000,"30 Dec 2022","United Cup ATP","","hard",1,"FINISHED","FINISHED","Kubler J.","Evans D.","512847","890750",107,27,538,1585,1,2,0,6,3,7,6,"","","","","","",3.75,1.25,3,1.36,11,3,1,2,67,61,39,33,75,50,50,25
"77883906",2023,1,"ATP Tour",1672398600,"30 Dec 2022","United Cup ATP","","hard",1,"FINISHED","FINISHED","Mannarino A.","Coria F.","136276","452060",46,75,946,695,1,2,0,6,1,6,0,"","","","","","",1.2,4.33,1.29,3.5,6,2,0,2,68,38,63,32,60,33,67,40
"87295504",2023,1,"ATP Tour",1672441800,"30 Dec 2022","United Cup ATP","","hard",1,"FINISHED","FINISHED","Zverev A.","Lehecka J.","404096","563621",12,81,2700,646,2,0,2,4,6,2,6,"","","","","","",1.14,5,1.25,3.75,1,5,8,3,54,66,34,46,14,50,50,86
"93696153",2023,1,"ATP Tour",1672443600,"30 Dec 2022","Adelaide 2 ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Humbert U.","Wu Y.","659243","267424","","","","",2,0,2,3,6,6,7,"","","","","","",1.85,1.93,1.87,1.92,3,5,0,1,58,74,26,42,25,50,50,75
"34421863",2023,1,"ATP Tour",1672449900,"31 Dec 2022","Adelaide 2 ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Popyrin A.","Zhang Z.","338460","149795","","","","",1,2,0,6,2,6,3,"","","","","","",1.73,2.08,1.77,2.02,5,1,1,3,86,58,42,14,60,0,0,40
"74222086",2023,1,"ATP Tour",1672452000,"31 Dec 2022","United Cup ATP","","hard",1,"FINISHED","FINISHED","Meligeni Alves F.","Durasovic V.","182021","145031",166,343,343,143,1,2,0,6,3,6,3,"","","","","","",1.67,2.1,1.73,2,5,11,0,5,71,53,47,29,50,0,100,50
"43506644",2023,1,"ATP Tour",1672454700,"31 Dec 2022","Adelaide 2 ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Safiullin R.","Hanfmann Y.","957369","619204","","","","",1,2,1,6,7,6,4,6,4,"","","","",1.56,2.4,1.65,2.23,9,8,1,1,73,63,37,27,33,17,83,67
"69669821",2023,1,"ATP Tour",1672455300,"31 Dec 2022","Adelaide 2 ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Millman J.","Pospisil V.","884527","120068","","","","",2,0,2,5,7,2,6,"","","","","","",2.04,1.76,2,1.79,3,7,0,3,55,72,28,45,33,44,56,67
