"match_id","season_year","tour_type","tour_type_human","date_timestamp","date_human","tournament","round","surface","surface_id","status","status_extra","home_name","away_name","home_id","away_id","home_rank","away_rank","home_points","away_points","winner_code","home_set_score","away_set_score","home_set_1_score","away_set_1_score","home_set_2_score","away_set_2_score","home_set_3_score","away_set_3_score","home_set_4_score","away_set_4_score","home_set_5_score","away_set_5_score","home_odds_match_winner","away_odds_match_winner","home_odds_first_set_winner","away_odds_first_set_winner","home_aces","away_aces","home_double_faults","away_double_faults","home_service_points_won_perc","away_service_points_won_perc","home_return_points_won_perc","away_return_points_won_perc","home_break_points_won_perc","away_break_points_won_perc","home_break_points_saved_perc","away_break_points_saved_perc"
"59575791",2023,2,"WTA Tour",1672282200,"29 Dec 2022","United Cup WTA","","hard",1,"FINISHED","FINISHED","Keys M.","Bouzkova M.","731934","369605","","","","",1,2,0,6,4,6,3,"","","","","","",1.8,1.91,1.83,1.83,1,1,3,1,71,53,47,29,57,100,0,43
"13649071",2023,2,"WTA Tour",1672283400,"29 Dec 2022","United Cup WTA","","hard",1,"FINISHED","FINISHED","Trevisan M.","Haddad Maia B.","357952","692146","","","","",2,0,2,2,6,0,6,"","","","","","",3.4,1.3,2.75,1.4,0,2,4,3,37,63,38,63,25,67,33,75
"27095987",2023,2,"WTA Tour",1672287000,"29 Dec 2022","United Cup WTA","","hard",1,"FINISHED","FINISHED","Papamichail D.","Shinikova I.","255338","612621","","","","",1,2,1,3,6,6,4,6,1,"","","","",1.57,2.25,1.67,2.1,2,1,3,4,57,48,52,43,58,83,17,42
"26269410",2023,2,"WTA Tour",1672305000,"29 Dec 2022","United Cup WTA","","hard",1,"FINISHED","FINISHED","Bencic B.","Putintseva Y.","218416","133650","","","","",1,2,0,7,6,6,3,"","","","","","",1.3,3.4,1.4,2.75,2,1,3,4,63,54,46,37,43,40,60,57
"66249546",2023,2,"WTA Tour",1672308300,"29 Dec 2022","United Cup WTA","","hard",1,"FINISHED","FINISHED","Hives Z.","Swan K.","921185","952727","","","","",2,0,2,4,6,3,6,"","","","","","",6.5,1.1,4.5,1.17,2,3,8,4,43,59,41,57,60,75,25,40
"72204807",2023,2,"WTA Tour",1672308600,"29 Dec 2022","United Cup WTA","","hard",1,"FINISHED","FINISHED","Cornet A.","Carle M. L.","151624","957435","","","","",1,2,0,6,2,6,1,"","","","","","",1.14,5,1.25,3.75,0,0,2,6,66,36,64,34,63,100,0,38
"63260459",2023,2,"WTA Tour",1672355100,"29 Dec 2022","United Cup WTA","","hard",1,"FINISHED","FINISHED","Pegula J.","Kvitova P.","814118","862485","","","","",2,0,2,6,7,4,6,"","","","","","",1.5,2.5,1.57,2.25,2,2,3,5,58,64,36,42,33,27,73,67
"47049266",2023,2,"WTA Tour",1672365900,"30 Dec 2022","United Cup WTA","","hard",1,"FINISHED","FINISHED","Sakkari M.","Tomova V.","710062","897792","","","","",1,2,0,6,3,6,2,"","","","","","",1.14,5,1.25,3.75,3,1,5,3,67,46,54,33,50,50,50,50
"19384880",2023,2,"WTA Tour",1672367100,"30 Dec 2022","United Cup WTA","","hard",1,"FINISHED","FINISHED","Bronzetti L.","Pigossi L.","152800","328017","","","","",1,2,0,6,0,6,2,"","","","","","",1.29,3.5,1.36,3,4,0,2,1,64,34,66,36,86,50,50,14
"15544498",2023,2,"WTA Tour",1672382100,"30 Dec 2022","United Cup WTA","","hard",1,"FINISHED","FINISHED","Inglis M.","Dart H.","646421","805782","","","","",2,0,2,4,6,4,6,"","","","","","",4,1.22,3.25,1.33,1,5,4,0,57,74,26,43,33,100,0,67
